"targetGene","N_TFs","RSquared"
"APOBEC3F",15,0.342364108288652
"APOBEC3G",15,0.555974389569376
"APOBR",15,0.283084206225803
"APOE",15,0.352384643206984
"APOL1",9,0.439752413197449
"APOL2",3,0.469878791499267
"APOL3",15,0.6659517215699
"APOL6",15,0.741824924172292
"APOLD1",15,0.596599968635658
"APOO",15,0.279424649220399
"APOOL",15,0.333050486634189
"APP",15,0.592134810484684
"APPBP2",15,0.743594530683717
"APPL1",15,0.71271288927133
"APPL2",15,0.356211834676865
"APRT",15,0.348857380139679
"APTX",15,0.280630796344363
"AQP1",15,0.428627573603517
"AQP9",15,0.499148586444581
"AQR",15,0.447295766065491
"ARAF",15,0.362342143752958
"ARAP1",15,0.596812361884338
"ARAP2",15,0.285215613142813
"ARCN1",15,0.711243312641791
"AREL1",15,0.555629160918299
"ARF1",15,0.798609830185369
"ARF3",14,0.345196968412403
"ARF4",15,0.444825035236653
"ARF5",15,0.314756309449632
"ARF6",15,0.502894004542143
"ARFGAP1",15,0.341355688480085
"ARFGAP2",15,0.722720305718689
"ARFGEF1",15,0.676989537591586
"ARFGEF2",15,0.64149468152519
"ARFGEF3",15,0.374112694186173
"ARFIP1",15,0.461109993233525
"ARFIP2",15,0.700205801208189
"ARFRP1",15,0.378351964516899
"ARG2",15,0.430395975347027
"ARGLU1",15,0.287677993209748
"ARHGAP10",15,0.384276613106546
"ARHGAP11A",15,0.6322252357305
"ARHGAP12",15,0.537934272029809
"ARHGAP17",15,0.617201009712017
"ARHGAP18",15,0.375852637652814
"ARHGAP19",15,0.318586239495912
"ARHGAP20",15,0.346225868567166
"ARHGAP21",15,0.336807904995133
"ARHGAP22",15,0.288378152797472
"ARHGAP25",15,0.805657972850359
"ARHGAP26",15,0.687806571657251
"ARHGAP28",15,0.424087575634856
"ARHGAP29",15,0.279956821501106
"ARHGAP30",15,0.764164602474344
"ARHGAP31",15,0.741294165525245
"ARHGAP35",15,0.506661820763537
"ARHGAP4",15,0.643479292308977
"ARHGAP42",15,0.639471537027985
"ARHGAP45",15,0.753713391744014
"ARHGAP5",15,0.610697842490481
"ARHGAP6",15,0.601176083466517
"ARHGAP8",15,0.458668464811434
"ARHGAP9",15,0.780078058219018
"ARHGDIA",15,0.466226056653493
"ARHGDIB",15,0.470214088707814
"ARHGEF1",15,0.619358069187609
"ARHGEF10",15,0.584679823082964
"ARHGEF10L",15,0.43600163988957
"ARHGEF11",15,0.599954870740796
"ARHGEF12",15,0.509763218996502
"ARHGEF17",15,0.530999404040724
"ARHGEF18",15,0.523658254300907
"ARHGEF2",15,0.368266007504153
"ARHGEF25",15,0.528480606666214
"ARHGEF37",15,0.657975965797463
"ARHGEF39",15,0.394974505070565
"ARHGEF4",15,0.642810226507682
"ARHGEF40",15,0.429218692455845
"ARHGEF6",15,0.693632044380781
"ARHGEF7",15,0.293367972350088
"ARID1A",15,0.6475635877258
"ARID1B",15,0.718686229250373
"ARID2",15,0.752618173936717
"ARID3A",15,0.826166834890234
"ARID3B",15,0.518733265471546
"ARID4A",15,0.645725470541251
"ARID4B",15,0.703426942930175
"ARID5A",15,0.616175601077145
"ARID5B",15,0.735706996125264
"ARIH1",15,0.624879941498025
"ARIH2",15,0.595977883894684
"ARL1",15,0.433233825697667
"ARL10",15,0.330798420182492
"ARL13B",15,0.665352336635179
"ARL14EP",14,0.289948818974592
"ARL15",15,0.781627263872668
"ARL16",15,0.350519507878654
"ARL2BP",15,0.563347129622592
"ARL3",15,0.59612913999805
"ARL4A",15,0.280208129567226
"ARL4C",15,0.674390405489402
"ARL5A",15,0.87479207982469
"ARL5B",15,0.644757110588538
"ARL6",15,0.420967549261721
"ARL6IP1",15,0.640522593861379
"ARL6IP4",15,0.604664087580991
"ARL6IP5",15,0.484293568240782
"ARL6IP6",15,0.750443751321112
"ARL8A",15,0.498868239384102
"ARL8B",15,0.679798365404182
"ARMC1",15,0.692228816583799
"ARMC5",15,0.636076657813658
"ARMC6",15,0.489326791579978
"ARMC7",15,0.308877760482329
"ARMC8",15,0.434734228492587
"ARMCX2",15,0.335105952467061
"ARMS2",15,0.278924359041031
"ARMT1",15,0.472209570091309
"ARNT",15,0.484484021646162
"ARNT2",15,0.388698376579177
"ARNTL2",15,0.481301162577607
"ARPC1A",15,0.268142770096589
"ARPC1B",15,0.391301534781349
"ARPC2",15,0.367336701167434
"ARPC3",15,0.300312299203165
"ARPC5",15,0.410440392562546
"ARPC5L",15,0.662392281464431
"ARPIN",15,0.456990841110181
"ARPP19",15,0.704463614970526
"ARRB1",15,0.339550505012349
"ARRB2",15,0.848471399307786
"ARRDC1",15,0.299197904579111
"ARRDC2",15,0.755804091169661
"ARRDC3",15,0.806938945746422
"ARRDC4",15,0.469114764892381
"ARSA",15,0.326473870936847
"ARSG",15,0.309022817353089
"ARSJ",15,0.589410242771582
"ART4",15,0.627952709009947
"ARTN",15,0.281289159577957
"ASAH1",15,0.379166313280878
"ASAP2",15,0.344657998424661
"ASAP3",15,0.528988344026161
"ASB1",15,0.744383804794691
"ASB13",15,0.388134649869672
"ASB16",15,0.541109007183963
"ASB2",15,0.609470372730458
"ASB6",15,0.612900782650508
"ASB7",15,0.652887542544004
"ASB8",15,0.477643501555051
"ASB9",15,0.512464599670004
"ASCC2",15,0.42616157327433
"ASCC3",15,0.359129202349572
"ASCL2",15,0.59546951507994
"ASF1A",12,0.276288980471083
"ASF1B",15,0.742986969586512
"ASH1L",15,0.815659489472969
"ASH2L",15,0.35970985208073
"ASIC3",15,0.436303100093656
"ASL",15,0.523603246491056
"ASMTL",15,0.287615958485329
"ASNA1",15,0.646204760515586
"ASNS",15,0.294408825089644
"ASPG",15,0.394180275518315
"ASPH",15,0.632810262911388
"ASPM",15,0.603684549589901
"ASPSCR1",15,0.561427302657718
"ASRGL1",15,0.376583946370329
"ASS1",15,0.727944419318322
"ASTE1",15,0.337334415871685
"ASXL1",15,0.363289361843051
"ASXL2",15,0.804114780198091
"ATAD1",15,0.790056300592458
"ATAD2",15,0.743685604070086
"ATAD2B",15,0.335378590311692
"ATAD3A",15,0.414999504732391
"ATAD3B",15,0.340358078933367
"ATAD3C",9,0.352978743470643
"ATAD5",15,0.605015078123159
"ATE1",15,0.434983350913058
"ATF1",15,0.768486400410378
"ATF2",15,0.352140495926554
"ATF3",15,0.519530722316446
"ATF4",15,0.571217583260123
